THUFqJVqZMPDHNnsCDtLETrdpQYiiQqEHP, USDT balance: 46013058, TRX balance: 38100001, needsConsolidation: true, tokenConsolidationState.trx:usdt: true
TNVQuu63qD65SRjSR5pifw65jA3pcWbTiq, USDT balance: 20393000000, TRX balance: 36644302, needsConsolidation: true, tokenConsolidationState.trx:usdt: true
TLKj4ssPZpUeV2wHoxosFVEWr2545YTa3x, USDT balance: 18328400000, TRX balance: 36436102, needsConsolidation: true, tokenConsolidationState.trx:usdt: true
TKFf1RBRwnzGovGst9csaEHunceQnoL2jM, USDT balance: 58011387000, TRX balance: 36436102, needsConsolidation: true, tokenConsolidationState.trx:usdt: true
TNXk9Hd26wjK7CZZMxyWkbR8GttGXy5Wfi, USDT balance: 17730043374, TRX balance: 69154711, needsConsolidation: true, tokenConsolidationState.trx:usdt: true
TRGH44EvxqHjd9FSXFb2uEt11ne9ydV59Q, USDT balance: 1655455000, TRX balance: 36436109, needsConsolidation: true, tokenConsolidationState.trx:usdt: true
TDHU3z2Bo3ktQZvEFkAWyHUei7LxBkaiZn, USDT balance: 4779882145, TRX balance: 36436103, needsConsolidation: true, tokenConsolidationState.trx:usdt: true
TTCmhdb45FFMXPb1t9iErrMVjkPnvMF8np, USDT balance: 60000000, TRX balance: 36912305, needsConsolidation: true, tokenConsolidationState.trx:usdt: true
TRZd3WYy2fHqd1AjTUJusuYw1SzK4Gw52F, USDT balance: 5136000000, TRX balance: 110704121, needsConsolidation: true, tokenConsolidationState.trx:usdt: true
TLDKJxfJY59UJmatSBKBnX291MmrZDQ1Gm, USDT balance: 1723950000, TRX balance: 38100001, needsConsolidation: true, tokenConsolidationState.trx:usdt: true
TDU1pszz9wxEXcebzUSPm48gHvkC67FbEx, USDT balance: 7237356103, TRX balance: 106516550, needsConsolidation: true, tokenConsolidationState.trx:usdt: true
TTT84AtbxjXJXPtb9vPudiHZZULkd1WSVr, USDT balance: 994032188, TRX balance: 36704103, needsConsolidation: true, tokenConsolidationState.trx:usdt: true
TF9p7s9KQmjjToeee5C2fRT13sxzT1AM1Z, USDT balance: 2721861539, TRX balance: 60704102, needsConsolidation: true, tokenConsolidationState.trx:usdt: true
TCod3SxmNLHmJbTXK5ZnnJ3eFpAp1XE3iS, USDT balance: 499000000, TRX balance: 36704104, needsConsolidation: true, tokenConsolidationState.trx:usdt: true
TKBe1aPEH5SBgusaRfGsiQuGYwL48gUivt, USDT balance: 1688294745, TRX balance: 36000003, needsConsolidation: true, tokenConsolidationState.trx:usdt: true
TXjBsXaJNQ3hmqxLVZotRMRmPJfsRVzqLb, USDT balance: 5649393455, TRX balance: 7152366721, needsConsolidation: true, tokenConsolidationState.trx:usdt: true
TM1E8NZbGfrY1Su1dHe2PtJh2vSsRQxEmV, USDT balance: 54956152291, TRX balance: 17487704125, needsConsolidation: true, tokenConsolidationState.trx:usdt: true
TRmfEP31rwSXxSS8RFEoTu3UzuKonBaCHg, USDT balance: 1060000000, TRX balance: 36704101, needsConsolidation: true, tokenConsolidationState.trx:usdt: true
